grantee_name,grantee_city,grantee_state,grantee_zip,grantee_country,grant_amount,grant_purpose_raw,relationship,foundation_status,grant_bucket,region_id,region_name,region_rule_source,region_relevant,foundation_name,foundation_ein,tax_year,grantee_ein,cash_grant_amount,non_cash_amount,irc_section,source_file,foundation_country,source_system,grant_amount_cash,grant_amount_in_kind,currency,fiscal_year,reporting_period
21CP Foundation NFP,Springfield,IL,62704,US,50000.0,President's Discretionary Fund,NONE,PC,3a,great_lakes,Great Lakes,preset,True,The Joyce Foundation,36-6079185,2023.0,,,,,,US,IRS_990,,,USD,,
21CP Solutions LLC,Chicago,IL,606044366,US,50000.0,Gun Violence Prevention & Justice Reform,NONE,NC,3a,great_lakes,Great Lakes,preset,True,The Joyce Foundation,36-6079185,2023.0,,,,,,US,IRS_990,,,USD,,
365 Media Foundation Inc,Madison,WI,53701,US,100000.0,Journalism,NONE,PC,3a,great_lakes,Great Lakes,preset,True,The Joyce Foundation,36-6079185,2023.0,,,,,,US,IRS_990,,,USD,,
3Arts Inc,Chicago,IL,60606,US,80000.0,Culture,NONE,PC,3a,great_lakes,Great Lakes,preset,True,The Joyce Foundation,36-6079185,2023.0,,,,,,US,IRS_990,,,USD,,
A Better Chance Inc,New York,NY,10001,US,2500.0,President's Discretionary Fund,NONE,PC,3a,great_lakes,Great Lakes,preset,True,The Joyce Foundation,36-6079185,2023.0,,,,,,US,IRS_990,,,USD,,
A Better Chicago,Chicago,IL,60606,US,160000.0,Education & Economic Mobility,NONE,PC,3a,great_lakes,Great Lakes,preset,True,The Joyce Foundation,36-6079185,2023.0,,,,,,US,IRS_990,,,USD,,
ACCESS,Dearborn,MI,48120,US,100000.0,Democracy,NONE,PC,3a,great_lakes,Great Lakes,preset,True,The Joyce Foundation,36-6079185,2023.0,,,,,,US,IRS_990,,,USD,,
Access Living of Metropolitan Chicago,Chicago,IL,60610,US,125000.0,Gun Violence Prevention & Justice Reform,NONE,PC,3a,great_lakes,Great Lakes,preset,True,The Joyce Foundation,36-6079185,2023.0,,,,,,US,IRS_990,,,USD,,
Advance Illinois,Chicago,IL,60601,US,500000.0,Education & Economic Mobility,NONE,PC,3a,great_lakes,Great Lakes,preset,True,The Joyce Foundation,36-6079185,2023.0,,,,,,US,IRS_990,,,USD,,
Advance Illinois,Chicago,IL,60601,US,145000.0,Education & Economic Mobility,NONE,PC,3a,great_lakes,Great Lakes,preset,True,The Joyce Foundation,36-6079185,2023.0,,,,,,US,IRS_990,,,USD,,
Advance Illinois,Chicago,IL,60601,US,25000.0,President's Discretionary Fund,NONE,PC,3a,great_lakes,Great Lakes,preset,True,The Joyce Foundation,36-6079185,2023.0,,,,,,US,IRS_990,,,USD,,
Advertising Council Inc,New York,NY,100162303,US,200000.0,Gun Violence Prevention & Justice Reform,NONE,PC,3a,great_lakes,Great Lakes,preset,True,The Joyce Foundation,36-6079185,2023.0,,,,,,US,IRS_990,,,USD,,
Advertising Council Inc,New York,NY,100162303,US,75000.0,Mission Fund,NONE,PC,3a,great_lakes,Great Lakes,preset,True,The Joyce Foundation,36-6079185,2023.0,,,,,,US,IRS_990,,,USD,,
Alliance for the Great Lakes,Chicago,IL,60601,US,275000.0,Environment,NONE,PC,3a,great_lakes,Great Lakes,preset,True,The Joyce Foundation,36-6079185,2023.0,,,,,,US,IRS_990,,,USD,,
Alliance for the Great Lakes,Chicago,IL,60601,US,265000.0,Environment,NONE,PC,3a,great_lakes,Great Lakes,preset,True,The Joyce Foundation,36-6079185,2023.0,,,,,,US,IRS_990,,,USD,,
Alliance for the Great Lakes,Chicago,IL,60601,US,5000.0,President's Discretionary Fund,NONE,PC,3a,great_lakes,Great Lakes,preset,True,The Joyce Foundation,36-6079185,2023.0,,,,,,US,IRS_990,,,USD,,
American Academy of Pediatrics,Itasca,IL,60143,US,150000.0,Gun Violence Prevention & Justice Reform,NONE,PC,3a,great_lakes,Great Lakes,preset,True,The Joyce Foundation,36-6079185,2023.0,,,,,,US,IRS_990,,,USD,,
American Civil Liberties Union Fund of Michigan,Detroit,MI,48201,US,125000.0,Democracy,NONE,PC,3a,great_lakes,Great Lakes,preset,True,The Joyce Foundation,36-6079185,2023.0,,,,,,US,IRS_990,,,USD,,
Anti-Defamation League,New York,NY,10158,US,250000.0,Mission Fund,NONE,PC,3a,great_lakes,Great Lakes,preset,True,The Joyce Foundation,36-6079185,2023.0,,,,,,US,IRS_990,,,USD,,
Anti-Defamation League,New York,NY,10158,US,75000.0,Mission Fund,NONE,PC,3a,great_lakes,Great Lakes,preset,True,The Joyce Foundation,36-6079185,2023.0,,,,,,US,IRS_990,,,USD,,
Artadia,Brooklyn,NY,11201,US,25000.0,Culture,NONE,PC,3a,great_lakes,Great Lakes,preset,True,The Joyce Foundation,36-6079185,2023.0,,,,,,US,IRS_990,,,USD,,
Asian Americans Advancing Justice - Chicago,Chicago,IL,60640,US,75000.0,Democracy,NONE,PC,3a,great_lakes,Great Lakes,preset,True,The Joyce Foundation,36-6079185,2023.0,,,,,,US,IRS_990,,,USD,,
Asian Improv Arts Midwest,Chicago,IL,60640,US,50000.0,Culture,NONE,PC,3a,great_lakes,Great Lakes,preset,True,The Joyce Foundation,36-6079185,2023.0,,,,,,US,IRS_990,,,USD,,
Asian Improv Arts Midwest,Chicago,IL,60640,US,50000.0,Culture,NONE,PC,3a,great_lakes,Great Lakes,preset,True,The Joyce Foundation,36-6079185,2023.0,,,,,,US,IRS_990,,,USD,,
Asian Improv Arts Midwest,Chicago,IL,60640,US,25000.0,Culture,NONE,PC,3a,great_lakes,Great Lakes,preset,True,The Joyce Foundation,36-6079185,2023.0,,,,,,US,IRS_990,,,USD,,
Asset Funders Network,Chicago,IL,60612,US,10000.0,Membership Grants,NONE,PC,3a,great_lakes,Great Lakes,preset,True,The Joyce Foundation,36-6079185,2023.0,,,,,,US,IRS_990,,,USD,,
Auburn Advisors LLC,New York,NY,10025,US,75000.0,Education & Economic Mobility,NONE,NC,3a,great_lakes,Great Lakes,preset,True,The Joyce Foundation,36-6079185,2023.0,,,,,,US,IRS_990,,,USD,,
Black Ensemble Theater Corporation,Chicago,IL,60640,US,60000.0,Culture,NONE,PC,3a,great_lakes,Great Lakes,preset,True,The Joyce Foundation,36-6079185,2023.0,,,,,,US,IRS_990,,,USD,,
Black Researchers Collective,Chicago,IL,60615,US,100000.0,Mission Fund,NONE,PC,3a,great_lakes,Great Lakes,preset,True,The Joyce Foundation,36-6079185,2023.0,,,,,,US,IRS_990,,,USD,,
Blackroots Alliance,Chicago,IL,60615,US,25000.0,Mission Fund,NONE,PC,3a,great_lakes,Great Lakes,preset,True,The Joyce Foundation,36-6079185,2023.0,,,,,,US,IRS_990,,,USD,,
Block Club Chicago,Chicago,IL,60601,US,160000.0,Journalism,NONE,PC,3a,great_lakes,Great Lakes,preset,True,The Joyce Foundation,36-6079185,2023.0,,,,,,US,IRS_990,,,USD,,
Block Club Chicago,Chicago,IL,60601,US,10000.0,President's Discretionary Fund,NONE,PC,3a,great_lakes,Great Lakes,preset,True,The Joyce Foundation,36-6079185,2023.0,,,,,,US,IRS_990,,,USD,,
Bright Star Community Outreach Corporation,Chicago,IL,60653,US,50000.0,Mission Fund,NONE,PC,3a,great_lakes,Great Lakes,preset,True,The Joyce Foundation,36-6079185,2023.0,,,,,,US,IRS_990,,,USD,,
Cabrini Green Legal Aid,Chicago,IL,60642,US,100000.0,Gun Violence Prevention & Justice Reform,NONE,PC,3a,great_lakes,Great Lakes,preset,True,The Joyce Foundation,36-6079185,2023.0,,,,,,US,IRS_990,,,USD,,
Candid,New York,NY,10005,US,15000.0,Membership Grants,NONE,PC,3a,great_lakes,Great Lakes,preset,True,The Joyce Foundation,36-6079185,2023.0,,,,,,US,IRS_990,,,USD,,
