foundation_name,foundation_ein,tax_year,grantee_name,grantee_city,grantee_state,grant_amount,grant_purpose_raw,grant_bucket,region_relevant,source_file,grantee_country,foundation_country,source_system,grant_amount_cash,grant_amount_in_kind,currency,fiscal_year,reporting_period,grantee_zip,relationship,foundation_status,region_id,region_name,region_rule_source,grantee_ein,cash_grant_amount,non_cash_amount,irc_section
THE CONSECON FOUNDATION,830918298RR0001,2024,Clean Prosperity Foundation,Toronto,ON,200000.0,,ca_t3010,True,consecon-foundation-grants-raw.csv,CA,CA,CHARITYDATA_CA,200000.0,0.0,CAD,2024,FY 2024,,,,,,,,,,
THE CONSECON FOUNDATION,830918298RR0001,2024,Toronto Zoo Wildlife Conservancy,Toronto,ON,100000.0,,ca_t3010,True,consecon-foundation-grants-raw.csv,CA,CA,CHARITYDATA_CA,100000.0,0.0,CAD,2024,FY 2024,,,,,,,,,,
THE CONSECON FOUNDATION,830918298RR0001,2024,Clean Economy Fund,East York,ON,90000.0,,ca_t3010,True,consecon-foundation-grants-raw.csv,CA,CA,CHARITYDATA_CA,90000.0,0.0,CAD,2024,FY 2024,,,,,,,,,,
THE CONSECON FOUNDATION,830918298RR0001,2024,Environment Funders Canada,Toronto,ON,80000.0,,ca_t3010,True,consecon-foundation-grants-raw.csv,CA,CA,CHARITYDATA_CA,80000.0,0.0,CAD,2024,FY 2024,,,,,,,,,,
THE CONSECON FOUNDATION,830918298RR0001,2024,The Earth Rangers Foundation,Woodbridge,ON,50000.0,,ca_t3010,True,consecon-foundation-grants-raw.csv,CA,CA,CHARITYDATA_CA,50000.0,0.0,CAD,2024,FY 2024,,,,,,,,,,
THE CONSECON FOUNDATION,830918298RR0001,2024,Gord Martineau Foundation,Etobicoke,ON,50000.0,,ca_t3010,True,consecon-foundation-grants-raw.csv,CA,CA,CHARITYDATA_CA,50000.0,0.0,CAD,2024,FY 2024,,,,,,,,,,
THE CONSECON FOUNDATION,830918298RR0001,2024,MaRS Discovery District,Toronto,ON,50000.0,,ca_t3010,True,consecon-foundation-grants-raw.csv,CA,CA,CHARITYDATA_CA,50000.0,0.0,CAD,2024,FY 2024,,,,,,,,,,
THE CONSECON FOUNDATION,830918298RR0001,2024,Charities Aid Foundation Canada,Toronto,ON,50000.0,,ca_t3010,True,consecon-foundation-grants-raw.csv,CA,CA,CHARITYDATA_CA,50000.0,0.0,CAD,2024,FY 2024,,,,,,,,,,
THE CONSECON FOUNDATION,830918298RR0001,2024,Canadian Parks and Wilderness Society,Ottawa,ON,25000.0,,ca_t3010,True,consecon-foundation-grants-raw.csv,CA,CA,CHARITYDATA_CA,25000.0,0.0,CAD,2024,FY 2024,,,,,,,,,,
THE CONSECON FOUNDATION,830918298RR0001,2024,Prince Edward County Community Foundation,Picton,ON,10000.0,,ca_t3010,True,consecon-foundation-grants-raw.csv,CA,CA,CHARITYDATA_CA,10000.0,0.0,CAD,2024,FY 2024,,,,,,,,,,
THE CONSECON FOUNDATION,830918298RR0001,2024,Nature Quebec,Quebec,QC,10000.0,,ca_t3010,True,consecon-foundation-grants-raw.csv,CA,CA,CHARITYDATA_CA,10000.0,0.0,CAD,2024,FY 2024,,,,,,,,,,
THE CONSECON FOUNDATION,830918298RR0001,2024,EcoSchools Canada,Toronto,ON,10000.0,,ca_t3010,True,consecon-foundation-grants-raw.csv,CA,CA,CHARITYDATA_CA,10000.0,0.0,CAD,2024,FY 2024,,,,,,,,,,
THE CONSECON FOUNDATION,830918298RR0001,2024,Quinte Region Natural History Museum,Trenton,ON,10000.0,,ca_t3010,True,consecon-foundation-grants-raw.csv,CA,CA,CHARITYDATA_CA,10000.0,0.0,CAD,2024,FY 2024,,,,,,,,,,
