foundation_name,foundation_ein,tax_year,grantee_name,grantee_city,grantee_state,grant_amount,grant_purpose_raw,source_file
ASTOR STREET FOUNDATION,39-1656190,2024,SUPPORT,,,15000.0,Radio Milwaukee (3) GENERAL OPERATING,Astor Street Foundation Inc - Full Filing - Nonprofit Explorer - ProPublica.pdf
ASTOR STREET FOUNDATION,39-1656190,2024,FOR SCHOLARSHIPS,,,5000.0,MILWAUKEE INSTITUTE OF ART DESIGN (3) CREATIVE FUSION PLEDGE,Astor Street Foundation Inc - Full Filing - Nonprofit Explorer - ProPublica.pdf
ASTOR STREET FOUNDATION,39-1656190,2024,"Astor Street Foundation Inc - Full Filing - Nonprofit Explorer - ProPublica 12/13/25, 10:37 AM",,,53212.0,"MILWAUKEE,WI",Astor Street Foundation Inc - Full Filing - Nonprofit Explorer - ProPublica.pdf
ASTOR STREET FOUNDATION,39-1656190,2024,ANNIVERVERSARY,,,40000.0,MILWAUKEE ART MUSEUM 501(3)(3) BRADLEY COLLECTION 50TH,Astor Street Foundation Inc - Full Filing - Nonprofit Explorer - ProPublica.pdf
ASTOR STREET FOUNDATION,39-1656190,2024,"Astor Street Foundation Inc - Full Filing - Nonprofit Explorer - ProPublica 12/13/25, 10:37 AM",,,5000.0,BLACK ARTS MKE (3) OPERATING SUPPORT,Astor Street Foundation Inc - Full Filing - Nonprofit Explorer - ProPublica.pdf
ASTOR STREET FOUNDATION,39-1656190,2024,ANNUAL PRIORITY,,,2000.0,MARQUETTE LAW SCHOOL (3) LAW SCHOOL'S GREATEST,Astor Street Foundation Inc - Full Filing - Nonprofit Explorer - ProPublica.pdf
ASTOR STREET FOUNDATION,39-1656190,2024,FOUND,,,5000.0,HMONG AMERICAN PEACE ACADEMY (3) FOUNDATION LAUNCH,Astor Street Foundation Inc - Full Filing - Nonprofit Explorer - ProPublica.pdf
ASTOR STREET FOUNDATION,39-1656190,2024,"CAMPAIGN Astor Street Foundation Inc - Full Filing - Nonprofit Explorer - ProPublica 12/13/25, 10:37 AM",,,5000.0,MILWAUKEE PARKS FOUNDATION (3) CHEERS TO OUR PARKS,Astor Street Foundation Inc - Full Filing - Nonprofit Explorer - ProPublica.pdf
THE BROOKBY FOUNDATION,38-3202330,2023,ACLU OF WISCONSIN FOUNDATION,,,25000.0,PC General Support,The Brookby Foundation - Full Filing - Nonprofit Explorer - ProPublica.pdf
THE BROOKBY FOUNDATION,38-3202330,2023,ALL CLASSICAL PORTLAND Network (ICAN),,,20000.0,PC International Children's Arts,The Brookby Foundation - Full Filing - Nonprofit Explorer - ProPublica.pdf
THE BROOKBY FOUNDATION,38-3202330,2023,ALLIANCE FOR THE GREAT LAKES,,,50000.0,PC General Support,The Brookby Foundation - Full Filing - Nonprofit Explorer - ProPublica.pdf
