from_id,to_id,edge_type,grant_amount,tax_year,grant_purpose_raw,role,start_year,end_year,foundation_name,grantee_name,source_file
FNDN_383503967,ORG_COUNCIL_OF_MICHIGAN_FOUNDATIONS,grant,1000.0,2023,Promote Private Foundations,,,,THE PORTER FAMILY FOUNDATION,COUNCIL OF MICHIGAN FOUNDATIONS,Porter_Family_Foundation_2023.pdf
FNDN_383503967,ORG_ECOWORKS,grant,10000.0,2023,charitable purposes,,,,THE PORTER FAMILY FOUNDATION,ECOWORKS,Porter_Family_Foundation_2023.pdf
FNDN_383503967,ORG_NATIONAL_WILDLIFE_FEDERATION,grant,500.0,2023,Charitable purposes,,,,THE PORTER FAMILY FOUNDATION,National Wildlife Federation,Porter_Family_Foundation_2023.pdf
FNDN_383503967,ORG_TART_TRAILS,grant,7000.0,2023,Charitable purposes,,,,THE PORTER FAMILY FOUNDATION,TART Trails,Porter_Family_Foundation_2023.pdf
FNDN_383503967,ORG_CENTER_FOR_MICHIGAN,grant,3500.0,2023,charitable,,,,THE PORTER FAMILY FOUNDATION,Center for Michigan,Porter_Family_Foundation_2023.pdf
FNDN_383503967,ORG_PLANET_DETROIT,grant,17750.0,2023,charitable,,,,THE PORTER FAMILY FOUNDATION,Planet Detroit,Porter_Family_Foundation_2023.pdf
FNDN_383503967,ORG_U_OF_M_BIODIVERSITY_FUND,grant,195.0,2023,Charitable,,,,THE PORTER FAMILY FOUNDATION,U OF M BIODIVERSITY FUND,Porter_Family_Foundation_2023.pdf
FNDN_383503967,ORG_U_OF_M_SARAH_MILLS_FUND,grant,2500.0,2023,Charitable,,,,THE PORTER FAMILY FOUNDATION,U OF M SARAH MILLS FUND,Porter_Family_Foundation_2023.pdf
FNDN_383503967,ORG_ECOLOGY_CENTER,grant,6100.0,2023,Charitable purposes,,,,THE PORTER FAMILY FOUNDATION,Ecology Center,Porter_Family_Foundation_2023.pdf
FNDN_383503967,ORG_TOWN_OF_DEDHAM,grant,5000.0,2023,Charitable purposes,,,,THE PORTER FAMILY FOUNDATION,TOWN OF DEDHAM,Porter_Family_Foundation_2023.pdf
FNDN_383503967,ORG_MICHIGAN_CLIMATE_ACTION_NETWORK,grant,26250.0,2023,ENVIRONMENTAL EDUCATION,,,,THE PORTER FAMILY FOUNDATION,MICHIGAN CLIMATE ACTION NETWORK,Porter_Family_Foundation_2023.pdf
FNDN_383503967,ORG_U_OF_M_CAMPUS_FARM_CARBON_NUETRALITY_PLAN,grant,3312.0,2023,ENVIRONMENTAL EDUCATION,,,,THE PORTER FAMILY FOUNDATION,U OF M CAMPUS FARM CARBON NUETRALITY PLAN,Porter_Family_Foundation_2023.pdf
FNDN_383503967,ORG_ENVIRONMENTAL_LAW_AND_POLICY,grant,2500.0,2023,ENVIRONMENTAL EDUCATION,,,,THE PORTER FAMILY FOUNDATION,ENVIRONMENTAL LAW AND POLICY,Porter_Family_Foundation_2023.pdf
FNDN_383503967,ORG_MICHIGAN_CLINICIANS_FOR_CLIMATE_ACTION,grant,500.0,2023,CHARITABLE,,,,THE PORTER FAMILY FOUNDATION,MICHIGAN CLINICIANS FOR CLIMATE ACTION,Porter_Family_Foundation_2023.pdf
FNDN_383503967,ORG_GREAT_LAKES_FUNDERS_COLLABORATIVE,grant,500.0,2023,ENVIRONMENTAL,,,,THE PORTER FAMILY FOUNDATION,GREAT LAKES FUNDERS COLLABORATIVE,Porter_Family_Foundation_2023.pdf
FNDN_383503967,ORG_FLOW_FOR_LOVE_OF_WATER,grant,5000.0,2023,CHARITABLE PURPOSES,,,,THE PORTER FAMILY FOUNDATION,FLOW FOR LOVE OF WATER,Porter_Family_Foundation_2023.pdf
FNDN_383503967,ORG_HEIDELBERG_PROJECT,grant,4100.0,2023,charitable,,,,THE PORTER FAMILY FOUNDATION,HEIDELBERG PROJECT,Porter_Family_Foundation_2023.pdf
FNDN_383503967,ORG_DISCOVERY_CENTER_PIER,grant,3500.0,2023,charity,,,,THE PORTER FAMILY FOUNDATION,DISCOVERY CENTER & PIER,Porter_Family_Foundation_2023.pdf
PERSON_THOMAS_S_PORTER,FNDN_383503967,board_membership,,2023,,DIRECTOR,,,THE PORTER FAMILY FOUNDATION,,Porter_Family_Foundation_2023.pdf
