foundation_name,foundation_ein,tax_year,grantee_name,grantee_city,grantee_state,grant_amount,grant_purpose_raw,source_file
THE PORTER FAMILY FOUNDATION,38-3503967,2023,COUNCIL OF MICHIGAN FOUNDATIONS,GRAND HAVEN,MI,1000,Promote Private Foundations,Porter_Family_Foundation_2023.pdf
THE PORTER FAMILY FOUNDATION,38-3503967,2023,ECOWORKS,Detroit,MI,10000,charitable purposes,Porter_Family_Foundation_2023.pdf
THE PORTER FAMILY FOUNDATION,38-3503967,2023,National Wildlife Federation,Reston,VA,500,Charitable purposes,Porter_Family_Foundation_2023.pdf
THE PORTER FAMILY FOUNDATION,38-3503967,2023,TART Trails,Traverse City,MI,7000,Charitable purposes,Porter_Family_Foundation_2023.pdf
THE PORTER FAMILY FOUNDATION,38-3503967,2023,Center for Michigan,Ann Arbor,MI,3500,charitable,Porter_Family_Foundation_2023.pdf
THE PORTER FAMILY FOUNDATION,38-3503967,2023,Planet Detroit,Lansing,MI,17750,charitable,Porter_Family_Foundation_2023.pdf
THE PORTER FAMILY FOUNDATION,38-3503967,2023,U OF M BIODIVERSITY FUND,ANN ARBOR,MI,195,Charitable,Porter_Family_Foundation_2023.pdf
THE PORTER FAMILY FOUNDATION,38-3503967,2023,U OF M SARAH MILLS FUND,,,2500,Charitable,Porter_Family_Foundation_2023.pdf
THE PORTER FAMILY FOUNDATION,38-3503967,2023,Ecology Center,Ann Arbor,MI,6100,Charitable purposes,Porter_Family_Foundation_2023.pdf
THE PORTER FAMILY FOUNDATION,38-3503967,2023,TOWN OF DEDHAM,BOSTON,MA,5000,Charitable purposes,Porter_Family_Foundation_2023.pdf
THE PORTER FAMILY FOUNDATION,38-3503967,2023,MICHIGAN CLIMATE ACTION NETWORK,LANSING,MI,26250,ENVIRONMENTAL EDUCATION,Porter_Family_Foundation_2023.pdf
THE PORTER FAMILY FOUNDATION,38-3503967,2023,U OF M CAMPUS FARM CARBON NUETRALITY PLAN,,,3312,ENVIRONMENTAL EDUCATION,Porter_Family_Foundation_2023.pdf
THE PORTER FAMILY FOUNDATION,38-3503967,2023,ENVIRONMENTAL LAW AND POLICY,Chicago,IL,2500,ENVIRONMENTAL EDUCATION,Porter_Family_Foundation_2023.pdf
THE PORTER FAMILY FOUNDATION,38-3503967,2023,MICHIGAN CLINICIANS FOR CLIMATE ACTION,TRAVERSE CITY,MI,500,CHARITABLE,Porter_Family_Foundation_2023.pdf
THE PORTER FAMILY FOUNDATION,38-3503967,2023,GREAT LAKES FUNDERS COLLABORATIVE,DETROIT,MI,500,ENVIRONMENTAL,Porter_Family_Foundation_2023.pdf
THE PORTER FAMILY FOUNDATION,38-3503967,2023,FLOW FOR LOVE OF WATER,TRAVERSE CITY,MI,5000,CHARITABLE PURPOSES,Porter_Family_Foundation_2023.pdf
THE PORTER FAMILY FOUNDATION,38-3503967,2023,HEIDELBERG PROJECT,,,4100,charitable,Porter_Family_Foundation_2023.pdf
THE PORTER FAMILY FOUNDATION,38-3503967,2023,DISCOVERY CENTER & PIER,Traverse City,MI,3500,charity,Porter_Family_Foundation_2023.pdf
