node_id,label,type,city,state,country,source
FNDN_383503967,THE PORTER FAMILY FOUNDATION,foundation,,,US,irs_990
ORG_COUNCIL_OF_MICHIGAN_FOUNDATIONS,COUNCIL OF MICHIGAN FOUNDATIONS,grantee,GRAND HAVEN,MI,US,irs_990
ORG_ECOWORKS,ECOWORKS,grantee,Detroit,MI,US,irs_990
ORG_NATIONAL_WILDLIFE_FEDERATION,National Wildlife Federation,grantee,Reston,VA,US,irs_990
ORG_TART_TRAILS,TART Trails,grantee,Traverse City,MI,US,irs_990
ORG_CENTER_FOR_MICHIGAN,Center for Michigan,grantee,Ann Arbor,MI,US,irs_990
ORG_PLANET_DETROIT,Planet Detroit,grantee,Lansing,MI,US,irs_990
ORG_U_OF_M_BIODIVERSITY_FUND,U OF M BIODIVERSITY FUND,grantee,ANN ARBOR,MI,US,irs_990
ORG_U_OF_M_SARAH_MILLS_FUND,U OF M SARAH MILLS FUND,grantee,,,US,irs_990
ORG_ECOLOGY_CENTER,Ecology Center,grantee,Ann Arbor,MI,US,irs_990
ORG_TOWN_OF_DEDHAM,TOWN OF DEDHAM,grantee,BOSTON,MA,US,irs_990
ORG_MICHIGAN_CLIMATE_ACTION_NETWORK,MICHIGAN CLIMATE ACTION NETWORK,grantee,LANSING,MI,US,irs_990
ORG_U_OF_M_CAMPUS_FARM_CARBON_NUETRALITY_PLAN,U OF M CAMPUS FARM CARBON NUETRALITY PLAN,grantee,,,US,irs_990
ORG_ENVIRONMENTAL_LAW_AND_POLICY,ENVIRONMENTAL LAW AND POLICY,grantee,Chicago,IL,US,irs_990
ORG_MICHIGAN_CLINICIANS_FOR_CLIMATE_ACTION,MICHIGAN CLINICIANS FOR CLIMATE ACTION,grantee,TRAVERSE CITY,MI,US,irs_990
ORG_GREAT_LAKES_FUNDERS_COLLABORATIVE,GREAT LAKES FUNDERS COLLABORATIVE,grantee,DETROIT,MI,US,irs_990
ORG_FLOW_FOR_LOVE_OF_WATER,FLOW FOR LOVE OF WATER,grantee,TRAVERSE CITY,MI,US,irs_990
ORG_HEIDELBERG_PROJECT,HEIDELBERG PROJECT,grantee,,,US,irs_990
ORG_DISCOVERY_CENTER_PIER,DISCOVERY CENTER & PIER,grantee,Traverse City,MI,US,irs_990
PERSON_THOMAS_S_PORTER,THOMAS S PORTER,person,,,US,irs_990_board
